"25","C32","50600"
"26","C31","50600"
"27","C42","50600"
"28","C41","50600"
"29","C12","50600"
"30","C11","50600"
"31","C22","50600"
"32","C21","50600"
"1","D2","50700"
"2","D2","50700"
"3","D3","50700"
"4","D3","50700"
"5","D4","50700"
"6","D4","50700"
"7","D1","50700"
"8","D1","50700"
"9","A2","50700"
"10","A2","50700"
"11","A3","50700"
"12","A3","50700"
"13","A4","50700"
"14","A4","50700"
"15","A1","50700"
"16","A1","50700"
"17","B2","50700"
"18","B2","50700"
"19","B3","50700"
"20","B3","50700"
"21","B4","50700"
"22","B4","50700"
"23","B1","50700"
"24","B1","50700"
"25","C2","50700"
"26","C2","50700"
"27","C3","50700"
"28","C3","50700"
"29","C4","50700"
"30","C4","50700"
"31","C1","50700"
"32","C1","50700"
"1","C1","50800"
"2","C1","50800"
"3","C2","50800"
"4","C2","50800"
"5","C3","50800"
"6","C3","50800"
"7","C4","50800"
"8","C4","50800"
"9","D1","50800"
"10","D1","50800"
"11","D2","50800"
"12","D2","50800"
"13","D3","50800"
"14","D3","50800"
"15","D4","50800"
"16","D4","50800"
"17","A1","50800"
"18","A1","50800"
"19","A2","50800"
"20","A2","50800"
"21","A3","50800"
"22","A3","50800"
"23","A4","50800"
"24","A4","50800"
"25","B1","50800"
"26","B1","50800"
"27","B2","50800"
"28","B2","50800"
"29","B3","50800"
"30","B3","50800"
"31","B4","50800"
"32","B4","50800"
"1","C4","50900"
"2","C4","50900"
"3","C1","50900"
"4","C1","50900"
"5","C2","50900"
"6","C2","50900"
"7","C3","50900"
"8","C3","50900"
"9","D4","50900"
"10","D4","50900"
"11","D1","50900"
"12","D1","50900"
"13","D2","50900"
"14","D2","50900"
"15","D3","50900"
"16","D3","50900"
"17","A4","50900"
"18","A4","50900"
"19","A1","50900"
"20","A1","50900"
"21","A2","50900"
"22","A2","50900"
"23","A3","50900"
"24","A3","50900"
"25","B4","50900"
"26","B4","50900"
"27","B1","50900"
"28","B1","50900"
"29","B2","50900"
"30","B2","50900"
"31","B3","50900"
"32","B3","50900"
"1","C31","51000"
"2","C32","51000"
"3","C41","51000"
"4","C42","51000"
"5","C11","51000"
"6","C12","51000"
"7","C21","51000"
"8","C22","51000"
"9","D31","51000"
"10","D32","51000"
"11","D41","51000"
"12","D42","51000"
"13","D11","51000"
"14","D12","51000"
"15","D21","51000"
"16","D22","51000"
"17","A31","51000"
"18","A32","51000"
"19","A41","51000"
"20","A42","51000"
"21","A11","51000"
"22","A12","51000"
"23","A21","51000"
"24","A22","51000"
"25","B31","51000"
"26","B32","51000"
"27","B41","51000"
"28","B42","51000"
"29","B11","51000"
"30","B12","51000"
"31","B21","51000"
"32","B22","51000"
"1","C32","51100"
"2","C31","51100"
"3","C42","51100"
"4","C41","51100"
"5","C12","51100"
"6","C11","51100"
"7","C22","51100"
"8","C21","51100"
"9","D32","51100"
"10","D31","51100"
"11","D42","51100"
"12","D41","51100"
"13","D12","51100"
"14","D11","51100"
"15","D22","51100"
"16","D21","51100"
"17","A32","51100"
"18","A31","51100"
"19","A42","51100"
"20","A41","51100"
"21","A12","51100"
"22","A11","51100"
"23","A22","51100"
"24","A21","51100"
"25","B32","51100"
"26","B31","51100"
"27","B42","51100"
"28","B41","51100"
"29","B12","51100"
"30","B11","51100"
"31","B22","51100"
"32","B21","51100"
"1","C21","51200"
"2","C22","51200"
"3","C31","51200"
"4","C32","51200"
"5","C41","51200"
"6","C42","51200"
"7","C11","51200"
"8","C12","51200"
"9","D21","51200"
"10","D22","51200"
"11","D31","51200"
"12","D32","51200"
"13","D41","51200"
"14","D42","51200"
"15","D11","51200"
"16","D12","51200"
"17","A21","51200"
"18","A22","51200"
"19","A31","51200"
"20","A32","51200"
"21","A41","51200"
"22","A42","51200"
"23","A11","51200"
"24","A12","51200"
"25","B21","51200"
"26","B22","51200"
"27","B31","51200"
"28","B32","51200"
"29","B41","51200"
"30","B42","51200"
"31","B11","51200"
"32","B12","51200"
"1","C22","51300"
"2","C21","51300"
"3","C32","51300"
"4","C31","51300"
"5","C42","51300"
"6","C41","51300"
"7","C12","51300"
"8","C11","51300"
"9","D22","51300"
"10","D21","51300"
"11","D32","51300"
"12","D31","51300"
"13","D42","51300"
"14","D41","51300"
"15","D12","51300"
"16","D11","51300"
"17","A22","51300"
"18","A21","51300"
"19","A32","51300"
"20","A31","51300"
"21","A42","51300"
"22","A41","51300"
"23","A12","51300"
"24","A11","51300"
"25","B22","51300"
"26","B21","51300"
"27","B32","51300"
"28","B31","51300"
"29","B42","51300"
"30","B41","51300"
"31","B12","51300"
"32","B11","51300"
"1","B1","51400"
"2","B1","51400"
"3","B2","51400"
"4","B2","51400"
"5","B3","51400"
"6","B3","51400"
"7","B4","51400"
"8","B4","51400"
"9","C1","51400"
"10","C1","51400"
"11","C2","51400"
"12","C2","51400"
"13","C3","51400"
"14","C3","51400"
"15","C4","51400"
"16","C4","51400"
"17","D1","51400"
"18","D1","51400"
"19","D2","51400"
"20","D2","51400"
"21","D3","51400"
"22","D3","51400"
"23","D4","51400"
"24","D4","51400"
"25","A1","51400"
"26","A1","51400"
"27","A2","51400"
"28","A2","51400"
"29","A3","51400"
"30","A3","51400"
"31","A4","51400"
"32","A4","51400"
"1","B4","51500"
"2","B4","51500"
"3","B1","51500"
"4","B1","51500"
"5","B2","51500"
"6","B2","51500"
"7","B3","51500"
"8","B3","51500"
"9","C4","51500"
"10","C4","51500"
"11","C1","51500"
"12","C1","51500"
"13","C2","51500"
"14","C2","51500"
"15","C3","51500"
"16","C3","51500"
"17","D4","51500"
"18","D4","51500"
"19","D1","51500"
"20","D1","51500"
"21","D2","51500"
"22","D2","51500"
"23","D3","51500"
"24","D3","51500"
"25","A4","51500"
"26","A4","51500"
"27","A1","51500"
"28","A1","51500"
"29","A2","51500"
"30","A2","51500"
"31","A3","51500"
"32","A3","51500"
"1","B3","51600"
"3","B4","51600"
"5","B1","51600"
"7","B2","51600"
"9","C3","51600"
"11","C4","51600"
"13","C1","51600"
"15","C2","51600"
"17","D3","51600"
"19","D4","51600"
"21","D1","51600"
"23","D2","51600"
"25","A3","51600"
"27","A4","51600"
"29","A1","51600"
"31","A2","51600"
"2","B3","51700"
"4","B4","51700"
"6","B1","51700"
"8","B2","51700"
"10","C3","51700"
"12","C4","51700"
"14","C1","51700"
"16","C2","51700"
"18","D3","51700"
"20","D4","51700"
"22","D1","51700"
"24","D2","51700"
"26","A3","51700"
"28","A4","51700"
"30","A1","51700"
"32","A2","51700"
"1","B2","51800"
"3","B3","51800"
"5","B4","51800"
"7","B1","51800"
"9","C2","51800"
"11","C3","51800"
"13","C4","51800"
"15","C1","51800"
"17","D2","51800"
"19","D3","51800"
"21","D4","51800"
"23","D1","51800"
"25","A2","51800"
"27","A3","51800"
"29","A4","51800"
"31","A1","51800"
"2","B2","51900"
"4","B3","51900"
"6","B4","51900"
"8","B1","51900"
"10","C2","51900"
"12","C3","51900"
"14","C4","51900"
"16","C1","51900"
"18","D2","51900"
"20","D3","51900"
"22","D4","51900"
"24","D1","51900"
"26","A2","51900"
"28","A3","51900"
"30","A4","51900"
"32","A1","51900"
